PID	Pathway Name	Corrected Pathway Name	Reviewed By	Curated By	Revision Date
p38_MKK3_6pathway	p38 MAPK signaling pathway		Hidenori Ichijo 	Kira Anthony	13-Jul-09
p38_MK2pathway	p38 signaling mediated by MAPKAP kinases		"Hidenori Ichijo, Matthias Gaestel  "	Kira Anthony	13-Apr-09
p53regulationpathway	p53 pathway		"Andreas Villunger, Jean-Christophe Marine"	Kira Anthony	18-Sep-10
p63pathway	p63 transcription factor network		"Roberto Mantovani, Satrajit Sinha, Rose-Anne Romano"	Kira Anthony	18-Sep-10
p73pathway	p73 transcription factor network		"Roberto Mantovani, Xinbin Chen"	Kira Anthony	18-Sep-10
p75NTRpathway	p75(NTR)-mediated signaling		"Bruce Carter, Wilma Friedman, Juan Carlos Arevalo, Marie Wooten "	Kira Anthony	8-Jun-09
thrombin_par1_pathway	PAR1-mediated thrombin signaling events		"Unice JK Soh, JoAnn Trejo"	Kira Anthony	18-Sep-10
thrombin_par4_pathway	PAR4-mediated thrombin signaling events		"Unice JK Sohn, JoAnn Trejo"	Kira Anthony	18-Sep-10
PDGF_pathway	PDGF receptor signaling network		"Carl-Henrik Heldin, Johan Lennartsson "	Mhairi Skinner	18-Sep-10
pdgfrapathway2	PDGFR-alpha signaling pathway		"Lars Ronnstrand, Carl-Henrik Heldin"	Shiva Krupa	8-Sep-08
pdgfrbpathway	PDGFR-beta signaling pathway		"Carl-Henrik Heldin, Deborah Morrison, Serge Roche, Melissa McKay, Johan Lennartsson "	Mhairi Skinner	8-Aug-07
er_nongenomic_pathway	Plasma membrane estrogen receptor signaling		"Richard J. Pietras, Tommaso Simoncini"	Kira Anthony	18-Sep-10
plexind1_pathway	Plexin-D1 Signaling		"Jim Casanova, Crislyn D`Souza-Schorey, Philippe Chavrier"	Serena Tan	18-Sep-10
plk1_pathway	PLK1 signaling events		"Giulia Guarguaglini, Hui Zhu"	Kira Anthony	18-Sep-10
plk2_4pathway	PLK2 and PLK4 events		"Giulia Guarguaglini, Hui Zhu"	Kira Anthony	13-Apr-09
plk3_pathway	PLK3 signaling events		"Giulia Guarguaglini, Hui Zhu"	Kira Anthony	13-Apr-09
plk_pathway	Polo-like kinase signaling events in the cell cycle		"Giulia Guarguaglini, Hui Zhu"	Kira Anthony	13-Apr-09
ajdiss_2pathway	Posttranslational regulation of adherens junction stability and dissassembly		"Mireia Dunach, David Bryant, Paul Saftig"	Mhairi Skinner	18-Sep-10
ps1pathway	Presenilin action in Notch and Wnt signaling		"Sashidhara, Pallavi Kshetrapal"	Shiva Krupa	8-Feb-08
syndecan_pathway	Proteoglycan syndecan-mediated signaling events		"John Couchman, Eok-Soo Oh"	Shiva Krupa	18-Sep-10
RAC1_pathway	RAC1 signaling pathway		"Giorgio Scita, Julie Gavard, Peter Hordijk"	Mhairi Skinner	12-Apr-10
rapid_gr_pathway	Rapid glucocorticoid signaling		"Michael J. Garabedian, Eduardo Arzt"	Kira Anthony	8-Jun-09
TCRRasPathway	Ras signaling in the CD4+ TCR pathway	Ras signaling in the CD4 TCR pathway	"Amnon Altman, Anjana Rao, Mark Sundrud, Victor Tybulewicz, Weiguo Zhang "	Kira Anthony	28-Mar-08
REELINPATHWAY3	Reelin signaling pathway		"Brian Howell, Andre Goffinet"	Shiva Krupa	9-Feb-09
ar_tf_pathway	Regulation of Androgen receptor activity		"Bruce Gottlieb, Frank Claessens "	Kira Anthony	13-Apr-09
CDC42_reg_pathway	Regulation of CDC42 activity		"Richard Cerione, Sandrine Etienne-Manneville"	Mhairi Skinner	8-Feb-10
SMAD2_3pathway	Regulation of cytoplasmic and nuclear SMAD2/3 signaling	Regulation of cytoplasmic and nuclear SMAD23 signaling	"Fang Liu, David Wotton"	Kira Anthony	9-Mar-09
betacatenin_nuc_pathway	Regulation of nuclear beta catenin signaling and target gene transcription		"Roel Nusse, Andreas Hecht"	Mhairi Skinner	18-Sep-10
SMAD2_3nuclearpathway	Regulation of nuclear SMAD2/3 signaling	Regulation of nuclear SMAD23 signaling	"Fang Liu, David Wotton"	Kira Anthony	12-Apr-10
p38alphabetapathway	Regulation of p38-alpha and p38-beta		Hidenori Ichijo	Kira Anthony	18-Sep-10
RAC1_reg_pathway	Regulation of RAC1 activity		Jonathon Chernoff	Mhairi Skinner	18-Sep-10
RAS_pathway	Regulation of Ras family activation		Piero Crespo 	"Puneet Kumar, Lawrence Goldfinger"	18-Sep-10
rb_1pathway	Regulation of retinoblastoma protein		"Erik S. Knudsen, Liang Zhu"	Kira Anthony	8-Feb-10
RhoA_reg_pathway	Regulation of RhoA activity		"Channing Der, Martin Schiller, Erika Wittchen"	Mhairi Skinner	18-Sep-10
telomerasepathway1	Regulation of Telomerase		Joachim Lingner	Shiva Krupa	9-Mar-09
retinoic_acid_pathway	Retinoic acid receptors-mediated signaling		"Cecile Egly, "	Shiva Krupa	13-Apr-09
RhoA_pathway	RhoA signaling pathway		"Anne Ridley, Christopher Marshall, Martin Schiller"	Mhairi Skinner	18-Sep-10
NFAT_3pathway	Role of Calcineurin-dependent NFAT signaling in lymphocytes		Fernando Macian	Kira Anthony	13-Jul-09
rxr_vdr_pathway	RXR and RAR heterodimerization with other nuclear receptor		Cecile Egly	Shiva Krupa	9-Jun-09
s1p_s1p1_pathway	S1P1 pathway		"Lina M Obeid, Yusuf A Hannun, Sarah Spiegel, Edward Goetzl,"	Shiva Krupa	8-Nov-10
s1p_s1p2_pathway	S1P2 pathway		"Lina M Obeid, Yusuf A Hannun, Sarah Spiegel, Edward Goetzl,"	Shiva Krupa	16-Sep-10
s1p_s1p3_pathway	S1P3 pathway		"Lina M Obeid, Yusuf A Hannun, Sarah Spiegel, Edward Goetzl,"	Shiva Krupa	7-Mar-11
s1p_s1p4_pathway	S1P4 pathway		"Lina M Obeid, Yusuf A Hannun, Sarah Spiegel, Edward Goetzl,"	Shiva Krupa	9-Mar-09
s1p_s1p5_pathway	S1P5 pathway		"Lina M Obeid, Yusuf A Hannun, Sarah Spiegel, Edward Goetzl,"	Shiva Krupa	12-May-09
shp2_pathway	SHP2 signaling		"Katja Grossmann, Marta Rosario"	Kira Anthony	18-Sep-10
aurora_kinase_pathway	Signaling by Aurora kinases		"Claude Prigent, Mar Carmena, "	Shiva Krupa	9-Mar-09
FAK_pathway	Signaling events mediated by focal adhesion kinase		"Christopher Turner, Jun-Lin Guan, Ravi Salgia, Robert Tilghman, Jill Slack-Davis, Xiaofeng Zhao,  Alok Tomar"	Mhairi Skinner	18-Sep-10
HDAC_ClassI_Pathway	Signaling events mediated by HDAC Class I		"Paul A. Marks, Jef Boeke, Xiang-Jiao Yang,"	Shiva Krupa	7-Dec-07
