GENE 1	GENE 1 ID	GENE 2	GENE 2 ID	Untreated (Sscore)	MMS (Sscore) 	log10(conditional pvalue) 
CTK3	854928	UME6	851788	3.536038	0.304048	4.0274
BUB1	853100	YFL052W		4.576429	0.006618	4.0244
CRZ1	855704	IXR1	853836	0.843642	1.251523	4.0237
CBF1	853523	UME6	851788	0.345794	2.764145	4.0141
CLB5	856237	GCR2	855522	0.149976	2.267374	4.0112
RDR1	854562	PHO4	850594	1.000469	1.088803	4.004
CTK2	853450	AKL1	852351	0.99025	1.098999	4.0039
HIR3	853605	CTF8	856598	2.012548	0.780403	4.0032
SFL1	854307	RAD51	856831	0.023904	2.39033	4.0022
KCS1	851580	FUS3	852265	5.144587	0.15584	3.9962
CTK3	854928	PTC1	851558	8.246179	1.811032	3.996
KIN2	850785	CHK1	852577	0.30005	2.013969	3.9957
ISR1	856221	RCS1		0.344856	2.752614	3.9835
CKI1	850824	PPH3	851647	0.148657	2.257837	3.9799
YPL230W		KNS1	850641	1.040196	1.041433	3.9785
YKR064W		ATG1	852695	0.506404	1.642735	3.9617
RSC2	851071	CHK1	852577	0.515705	1.629985	3.9507
MMS22	851030	PKH1	852101	0.531306	2.924438	3.9415
MET18	854678	TOS3	852696	0.159485	2.551532	3.9384
SWC5	852532	RXT2	852392	8.975429	2.604764	3.9266
STB2	855075	STP2	856397	1.591405	0.86133	3.9264
SSN3	856065	NRG2	852358	0.996845	0.928534	3.9258
TOS3	852696	UME6	851788	0.052819	2.43831	3.9197
CTK2	853450	SDP1	854693	0.900789	1.157406	3.901
SKO1	855554	RCS1		1.797315	0.760983	3.8738
ARR1	856329	MMS22	851030	0.28695	1.985668	3.8723
CLN1	855239	MBP1	851503	2.897345	0.602303	3.8581
ASF1	853327	SKN7	856613	1.312826	1.016891	3.8569
CKA1	854776	UPC2	851799	0.870864	1.16858	3.8395
RAD52	854976	ADA2	852059	1.831541	0.711427	3.8336
CTF8	856598	RCS1		2.250762	0.627838	3.8265
GLO3	856859	UME6	851788	0.949591	1.085768	3.8262
RCS1		GIS1	851670	0.712856	1.393381	3.8254
PPQ1	855923	NPR1	855538	0.667337	1.434939	3.8129
YER184C		DOT6	856822	0.709091	1.392548	3.8109
LCB5	850964	SLT2	856425	0.948196	0.943794	3.8084
PKH1	852101	DCC1	850344	0.639038	1.461718	3.8082
PPQ1	855923	BUB1	853100	6.239161	1.07998	3.8063
STP1	852074	INO2	851701	1.74964	0.780489	3.8001
LCB5	850964	RAD51	856831	0.037185	2.301787	3.788
STB1	855407	BUB1	853100	2.106089	0.658168	3.7866
GCR2	855522	HAP3	852260	0.485968	1.756232	3.7828
IXR1	853836	REI1	852569	1.442581	0.859589	3.7782
SER2	853122	RCS1		0.09048	2.424283	3.7735
MMS22	851030	YPK1	853733	0.681654	1.40702	3.7703
RAD52	854976	PTC2	856823	3.228003	0.468192	3.7689
PPT1	853023	MRK1	851480	0.716776	1.333573	3.7658
HAA1	856117	KSP1	856482	0.790246	1.22551	3.7626
AFT2	855899	HAL9	854064	0.300204	1.933718	3.7587
CLN1	855239	PTP1	851368	4.602924	0.21504	3.7503
SPS18	855517	RCK2	850950	2.239889	0.601749	3.7418
ARG81	854874	YDR266C		0.570571	1.507648	3.7377
RTT109	850658	YBR028C		0.151094	2.168842	3.7348
STP2	856397	YER184C		1.325074	0.957721	3.7233
YDR266C		KIN1	851700	0.375668	1.844862	3.7198
CLN1	855239	YIL042C		3.339989	0.327359	3.7182
CBF1	853523	TEL1	852190	1.063639	0.963923	3.7144
RAD51	856831	MEC1	852433	0.133286	2.0831	3.7078
CLA4	855418	CBF1	853523	1.101353	0.951643	3.7063
MRE11	855264	RXT2	852392	2.193073	0.632744	3.7059
RAD5	850719	RAD51	856831	0.380635	1.832965	3.6997
SIN3	854158	CTK1	853718	5.362914	0.593542	3.6963
HSL1	853760	UME6	851788	8.218093	2.073096	3.6887
CLA4	855418	CTK2	853450	1.619921	0.745936	3.6885
RIM101	856358	RCS1		2.074265	0.646866	3.6849
EAP1	853631	KAR4	850303	0.705441	1.318649	3.6828
YAP7	854129	FUS3	852265	1.780107	0.703082	3.6789
CLA4	855418	NUT1	852726	0.734203	1.254693	3.6763
HRK1	854441	TOS4	850880	0.817474	1.168455	3.6668
NUT1	852726	ADR1	851802	0.595727	1.455961	3.6556
RPD3	855386	SPS18	855517	2.256926	0.542837	3.647
CKI1	850824	GIS1	851670	0.222902	1.970394	3.6413
HTZ1	854150	OPI1	856366	5.866807	0.839765	3.6393
CLN1	855239	HSL1	853760	0.476568	1.680231	3.6379
SMK1	856167	RAD52	854976	0.38455	2.666035	3.6285
MMS22	851030	HSL1	853760	4.339677	0.03659	3.626
RCO1	855097	RAD52	854976	0.039694	2.235793	3.6121
YPL230W		FKH2	855656	0.68204	1.353412	3.6058
CNA1	851153	CBF1	853523	0.611693	1.423223	3.6042
ATG1	852695	KIN3	851273	0.464827	1.568012	3.5979
CTK3	854928	CNA1	851153	0.73017	1.233986	3.5977
KIN2	850785	KKQ8	853686	0.957202	1.006515	3.5963
PSK2	854111	MMS22	851030	0.764275	1.196045	3.5856
CLN1	855239	GAT1	850523	0.057426	2.202796	3.5704
CLB5	856237	CBF1	853523	1.269087	0.957656	3.5669
CLB6	853003	RCS1		0.950987	1.001878	3.5622
YPL230W		PTC1	851558	0.787892	1.16465	3.5611
MSS11	855200	RAD51	856831	0.098016	2.066596	3.5596
CTF18	855102	RPN4	851542	6.482382	1.538449	3.5362
RAD52	854976	DUN1	851457	1.563588	0.743097	3.5308
RAD17	854550	KKQ8	853686	0.566948	2.808232	3.5191
GCR2	855522	UPC2	851799	0.100231	2.137599	3.5097
DAL80	853904	PTC1	851558	0.919943	1.015291	3.507
